"Trtmt","Sp","Rep","ID","Plate","Tray","Row","Col","Date.Sowed","H","Ex","C","DateEmerg","Survival","No.Lvs","WetWt","A_WetWt","B_WetWt","LogB_WetWt","sqrtB_WetWt","rankB_WetWt"
"100","Basil","1","10","4","1","5","1",2016-11-21,"0","1","0",2016-11-28,"1",NA,NA,NA,NA,NA,NA,137
"0","Basil","1","1","1","1","5","2",2016-11-18,"2","2","1",2016-11-23,"1",0,35.5,33.49,1.77,0.442479769064449,1.50665191733194,21
"25","Basil","1","2","3","1","5","3",2016-11-18,"1","2","0",2016-11-21,"1",0,55.79,49.99,4.66,0.752816431188271,2.27156333832011,91
"100","Lettuce","1","10","1","1","5","4",2016-11-18,"0","1","1",2016-11-21,"1",0,10.67,10.48,0.19,0.0755469613925307,0.830662386291807,3
"100","Basil","1","18",NA,"1","6","1",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,138
"100","Lettuce","1","15","2","1","6","2",2016-11-18,"0","1","0",2016-11-21,"1",2,101.66,98.39,2.35,0.525044807036845,1.68819430161341,35
"25","Lettuce","1","17","4","1","6","3",2016-11-18,"1","2","1",2016-11-19,"1",2,100.28,96.99,2.61,0.557507201905658,1.76351920885484,39
"0","Basil","1","12","4","1","6","4",2016-11-18,"1","2","0",2016-11-22,"1",0,32.07,28.64,2.74,0.57287160220048,1.8,48.5
"0","Lettuce","1","1","2","1","7","1",2016-11-18,"2","2","1",2016-11-21,"1",2,61.49,58.32,2.67,0.564666064252089,1.78044938147649,43
"0","Basil","1","8","5","1","7","2",2016-11-18,"1","1","0",2016-11-25,"1",0,24.88,22.22,2.51,0.545307116465824,1.73493515728975,36
"100","Lettuce","1","19","5","1","7","3",2016-11-18,"0","1","0",2016-11-22,"1",2,48.11,47,0.85,0.267171728403014,1.16189500386223,6
"50","Lettuce","1","14","4","1","7","4",2016-11-18,"1","1","0",2016-11-24,"1",0,14.54,12.76,1.09,0.320146286111054,1.26095202129185,8
"100","Basil","1","5",NA,"1","8","1",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,139
"50","Basil","1","18","1","1","8","2",2016-11-21,"0","1","0",NA,"0",NA,NA,NA,NA,NA,NA,140
"0","Lettuce","1","9","3","1","8","3",2016-11-18,"2","2","1",2016-11-20,"1",2,110.41,105.06,4.37,0.729974285699556,2.20680764907139,89.5
"100","Lettuce","1","17","5","1","8","4",2016-11-18,"0","1","0",2016-11-22,"1",1,54.79,52.21,2.01,0.478566495593843,1.58429795177549,29
"0","Basil","1","20","2","1","9","1",2016-11-18,"1","2","1",2016-11-21,"1",0,58.82,52.1,5.24,0.795184589682424,2.39582971014219,101
"100","Basil","1","8",NA,"1","9","2",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,141
"50","Lettuce","1","5","5","1","9","3",2016-11-18,"1","1","1",2016-11-19,"1",2,71.57,68.06,NA,NA,NA,142
"50","Lettuce","1","3","2","1","9","4",2016-11-18,"1","1","1",2016-11-21,"1",1,46.34,44.1,1.76,0.440909082065218,1.50332963783729,20
"50","Basil","1","19","2","1","10","1",2016-11-21,"0","1","1",NA,"0",NA,NA,NA,NA,NA,NA,143
"100","Lettuce","1","3","4","1","10","2",2016-11-18,"0","1","0",2016-11-20,"1",2,64.01,62.44,1.24,0.350248018334163,1.31909059582729,10
"100","Basil","1","17",NA,"1","10","3",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,144
"50","Basil","1","14","3","1","10","4",2016-11-18,"0","1","0",2016-11-21,"1",0,49.87,44.22,4.83,0.765668554759014,2.30867927612304,93
"0","Lettuce","1","16","4","2","1","1",2016-11-18,"2","2","1",2016-11-20,"1",2,110.04,105.28,4.14,0.710963118995276,2.1540659228538,85
"25","Basil","1","11","1","2","1","2",2016-11-18,"0","1","0",2016-11-20,"1",2,47.51,41.79,5.51,0.813580988568192,2.45153013442625,105
"25","Basil","1","15","5","2","1","3",2016-11-18,"1","2","1",2016-11-19,"1",2,63.27,56.31,6.26,0.860936620700094,2.6,109
"50","Basil","1","7","5","2","1","4",2016-11-18,"0","1","0",2016-11-21,"1",2,64.27,59.95,3.84,0.684845361644412,2.08326666559997,80.5
"25","Lettuce","1","4","3","2","2","1",2016-11-18,"1","2","1",2016-11-19,"1",2,95.1,92.61,2.14,0.496929648073215,1.62480768092719,31
"50","Lettuce","1","2","2","2","2","2",2016-11-18,"1","1","1",NA,"0",NA,NA,NA,NA,NA,NA,145
"0","Basil","1","11","4","2","2","3",2016-11-18,"1","2","1",2016-11-21,"1",0,26.93,24.01,2.7,0.568201724066995,1.78885438199983,45
"0","Lettuce","1","18","1","2","2","4",2016-11-18,"2","2","1",2016-11-20,"1",2,74.77,72.36,2.08,0.488550716500444,1.6062378404209,30
"50","Basil","1","5","5","2","3","1",2016-11-18,"0","1","1",2016-11-20,"1",2,187.63,183.29,3.13,0.615950051656401,1.90525588832577,61
"100","Basil","1","12",NA,"2","3","2",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,146
"50","Lettuce","1","10","4","2","3","3",2016-11-18,"1","1","0",2016-11-20,"1",2,123.98,120.5,2.75,0.574031267727719,1.80277563773199,50
"100","Basil","1","3",NA,"2","3","4",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,147
"25","Lettuce","1","12","1","2","4","1",2016-11-18,"1","2","1",2016-11-20,"1",2,87.99,85.15,2.64,0.561101383649056,1.77200451466693,41
"25","Basil","1","7","2","2","4","2",2016-11-18,"1","2","0",2016-11-21,"1",0,39.69,36.67,2.73,0.571708831808688,1.79722007556114,47
"25","Basil","1","3","3","2","4","3",2016-11-18,"1","2","0",2016-11-21,"1",0,38.17,33.59,4.12,0.709269960975831,2.14941852602047,84
"100","Lettuce","1","8","3","2","4","4",2016-11-18,"0","1","0",2016-11-21,"1",2,108.99,106.95,1.65,0.423245873936808,1.46628782986152,16
"0","Basil","1","3","1","2","5","1",2016-11-18,"2","2","0",2016-11-25,"1",0,34.14,31.48,2.21,0.506505032404872,1.64620776331543,32
"0","Lettuce","1","7","5","2","5","2",2016-11-18,"1","2","1",2016-11-20,"1",2,64.9,62.53,1.92,0.465382851448418,1.5556349186104,22
"100","Lettuce","1","18","5","2","5","3",2016-11-18,"0","1","0",2016-11-21,"1",2,86.05,83.39,1.98,0.474216264076255,1.57480157480236,27.5
"100","Basil","1","15",NA,"2","5","4",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,148
"0","Lettuce","1","12","3","2","6","1",2016-11-18,"2","2","1",2016-11-19,"1",3,152.88,146.62,5.18,0.790988475088816,2.3832750575626,98
"25","Basil","1","13","5","2","6","2",2016-11-18,"1","2","1",2016-11-21,"1",2,42.63,38.39,3.63,0.665580991017953,2.03224014329016,76
"25","Lettuce","1","3","3","2","6","3",2016-11-18,"1","2","1",2016-11-19,"1",2,109.63,106.17,3,0.602059991327962,1.87082869338697,58
"25","Lettuce","1","15","5","2","6","4",2016-11-18,"1","2","1",2016-11-21,"1",2,55.84,53.44,1.97,0.472756449317212,1.57162336455017,26
"50","Lettuce","1","11","4","2","7","1",2016-11-18,"1","1","0",2016-11-20,"1",2,60.85,59.3,0.7,0.230448921378274,1.09544511501033,4
"100","Basil","1","20",NA,"2","7","2",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,149
"25","Basil","1","9","1","2","7","3",2016-11-18,"1","1","0",2016-11-21,"1",0,32.61,29.12,3.29,0.632457292184724,1.94679223339318,66
"0","Lettuce","1","2","2","2","7","4",2016-11-18,"2","2","1",2016-11-19,"1",2,117.09,114.53,2.25,0.511883360978874,1.6583123951777,33
"50","Lettuce","1","17","3","2","8","1",2016-11-18,"1","1","0",2016-11-20,"1",2,109.19,102.98,5.45,0.809559714635268,2.43926218353009,103
"100","Basil","1","19",NA,"2","8","2",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,150
"100","Basil","1","6",NA,"2","8","3",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,151
