Trtmt,Sp,Rep,ID,Plate,Tray,Row,Col,Date Sowed,H,Ex,C,Pheno,DateEmerg,D2Emerg,Survival,HarvestD,No.Lvs,WetWt,A_WetWt,B_WetWt,PhotoIDNo.,PhotoIDLet,PhotoIDAdd,PhotoID
25,Basil,1,20,4,4,8,3,18-Nov-16,1,2,0,1.2.0,21-Nov-16,3,1,05-Dec-16,0,55.1,50.76,3.27,9,C,,9370
25,Lettuce,1,1,3,1,1,4,18-Nov-16,1,2,1,1.2.1,20-Nov-16,2,1,01-Dec-16,2,95.96,92.56,3.03,6,A,,9327
25,Lettuce,1,2,3,1,2,1,18-Nov-16,1,2,1,1.2.1,19-Nov-16,1,1,01-Dec-16,2,103.34,97.38,4.96,3,B,,9324
25,Lettuce,1,3,3,2,6,3,18-Nov-16,1,2,1,1.2.1,19-Nov-16,1,1,02-Dec-16,2,109.63,106.17,3,8,B,,9344
25,Lettuce,1,4,3,2,2,1,18-Nov-16,1,2,1,1.2.1,19-Nov-16,1,1,02-Dec-16,2,95.1,92.61,2.14,1,C,,9337
25,Lettuce,1,5,2,4,7,4,18-Nov-16,1,2,1,1.2.1,20-Nov-16,2,1,05-Dec-16,3,194.21,188.08,4.93,9,B,,9370
25,Lettuce,1,6,2,1,4,2,18-Nov-16,1,2,1,1.2.1,19-Nov-16,1,1,01-Dec-16,2,115.46,110.95,3.47,,,,
25,Lettuce,1,7,2,4,8,2,18-Nov-16,1,2,1,1.2.1,21-Nov-16,3,1,05-Dec-16,3,182.7,174.32,7.21,4,D,,9365
25,Lettuce,1,8,2,1,2,4,18-Nov-16,1,2,1,1.2.1,20-Nov-16,2,1,01-Dec-16,2,81.47,80.5,0.75,6,C,,9327
25,Lettuce,1,9,1,4,4,2,18-Nov-16,1,2,1,1.2.1,23-Nov-16,5,1,05-Dec-16,2,49.69,47.78,1.3,2,C,,9363
25,Lettuce,1,10,1,4,2,3,18-Nov-16,1,2,1,1.2.1,20-Nov-16,2,1,05-Dec-16,3,358.99,343.5,13.92,6,B,,9367
25,Lettuce,1,11,1,2,9,3,18-Nov-16,1,2,1,1.2.1,21-Nov-16,3,1,02-Dec-16,2,86.74,83.1,3.61,10,A,,9346
25,Lettuce,1,12,1,2,4,1,18-Nov-16,1,2,1,1.2.1,20-Nov-16,2,1,02-Dec-16,2,87.99,85.15,2.64,2,B,,9338
25,Lettuce,1,13,5,4,1,2,18-Nov-16,1,2,1,1.2.1,20-Nov-16,2,1,05-Dec-16,3,336.81,325.43,9.57,1,B,,9362
25,Lettuce,1,14,5,4,8,4,18-Nov-16,1,2,1,1.2.1,20-Nov-16,2,1,05-Dec-16,3,266.34,257.18,7.71,9,D,,9370
25,Lettuce,1,15,5,2,6,4,18-Nov-16,1,2,1,1.2.1,21-Nov-16,3,1,02-Dec-16,2,55.84,53.44,1.97,8,C,,9344
25,Lettuce,1,16,5,4,9,3,18-Nov-16,1,2,1,1.2.1,19-Nov-16,1,1,05-Dec-16,3,214.37,207.76,5.71,10,A,,9371
25,Lettuce,1,17,4,1,6,3,18-Nov-16,1,2,1,1.2.1,19-Nov-16,1,1,01-Dec-16,2,100.28,96.99,2.61,8,C,,9329
25,Lettuce,1,18,4,3,9,3,18-Nov-16,1,2,1,1.2.1,20-Nov-16,2,1,02-Dec-16,2,56.39,53.37,2.68,20,A,,9356
25,Lettuce,1,19,4,2,9,2,18-Nov-16,1,2,1,1.2.1,20-Nov-16,2,1,02-Dec-16,2,63.13,60.92,1.98,5,B,,9341
25,Lettuce,1,20,4,4,10,4,18-Nov-16,1,2,1,1.2.1,20-Nov-16,2,1,05-Dec-16,2,145.26,141.09,3.32,10,C,,9371
50,Basil,1,1,2,1,1,3,18-Nov-16,0,1,0,0.1.0,,,0,,,,,,,,,
50,Basil,1,2,2,1,3,4,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,01-Dec-16,0,54.09,45.14,7.92,7,B,,9328
50,Basil,1,3,2,2,10,3,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,02-Dec-16,2,43.79,38.14,5.07,10,C,,9346
50,Basil,1,4,2,3,7,1,18-Nov-16,0,1,1,0.1.1,21-Nov-16,3,1,02-Dec-16,2,49.17,45.79,2.92,14,A,,9350
50,Basil,1,5,5,2,3,1,18-Nov-16,0,1,1,0.1.1,20-Nov-16,2,1,02-Dec-16,2,187.63,183.29,3.13,2,A,,9338
50,Basil,1,6,5,4,10,2,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,05-Dec-16,2,83.62,79.04,4.2,5,D,,9366
50,Basil,1,7,5,2,1,4,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,02-Dec-16,2,64.27,59.95,3.84,6,B,,9342
50,Basil,1,8,5,2,9,4,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,02-Dec-16,0,57.64,50.91,6.28,10,B,,9346
50,Basil,1,9,5,2,10,1,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,02-Dec-16,0,39.05,34.69,4.22,5,C,,9341
50,Basil,1,10,3,4,9,1,18-Nov-16,0,1,0,0.1.0,28-Nov-16,10,1,05-Dec-16,0,9.6,9.57,0.09,5,A,,9366
